Dons Place Night Club,"P.O.Box CT 5934, Accra"
Events Fahrenheit Ghana,"UCC campus, Cape Coast"
Aphrodisiac Nite Club,"No. 48 Patrice Lumumba Road, Airport Res. Area, Accra"
Cinderella's Night Club,"DTD 186, OSU AVENUE EXT"
Lloyds Night Club,P.O.Box KN 2702 Kaneshie Accra-Ghana
De Tarven Night Club,"Near Presby Church, Kaneshie, Accra"
Vanity Pub & Night Club,"Near Platinum Plaza, Ako Adjei, Osu, Accra"
Club Faliesa,BOX CE 11608
XL-Accra's eXclusive Lounge,"No. 45 Aviation Road, Airport Residential Area, Accra"
Goldfinger Restaurant & Nightclub,"Behind Vag Hall, Ho"
Oops!,"Bubuashie Roundabout, Accra"
The Savannah Bar,Box 01404
Warehouse Nite Club,"Box 15539, Accra North"
Benjyâs Pub & Restaurant,"Box 4913, Accra"
Benj,"P.O.Box 4913, Accra"
Boomerang Night Club,"P.O.Box CT 4171,Cantonments"
Club Felisa,"Near Subin Valley Hotel, Comm. 7, Tema"
Club Citizen,"Citizen Kofi Bldg., Osu, Accra"
Donâs Place,"Box CT 5934, Cantonment"
Frank 2 Pub,"Ebony Junction, Accra"
"Friday Bar, Restaurant And Night Club","P.O.Box 1105, Accra North"
Funky Town Disco,"Dzorwulu St., Accra"
Glenns Night Club,"Adabraka, Accra"
Indigo Night Club,"P.O.Box 5129, Danquah Circle, Osu"
Jazz Tone (Jazz Club),"No. 3, Third Close, Airport Res. Area, Accra"
Macumba Night Club,"P.O.Box 1603, Airport-Accra"
Meda Me Hoso Night Club,Accra
Moon Night Club,"Mamprobi, Accra"
